word,2009_freq,2010_freq,2011_freq,2012_freq,2013_freq,2014_freq,2015_freq,2016_freq,2017_freq,2018_freq
walk,9.0,9.0,12.0,10.0,7.0,10.0,9.0,8.0,15.0,18.0
total,9.0,9.0,6.0,9.0,8.0,10.0,12.0,7.0,1.0,9.0
mean,9.0,19.0,19.0,18.0,16.0,14.0,24.0,19.0,17.0,34.0
bipartite,9.0,7.0,13.0,7.0,11.0,8.0,8.0,8.0,4.0,10.0
four,9.0,11.0,5.0,11.0,10.0,11.0,4.0,12.0,10.0,14.0
policy,9.0,20.0,31.0,28.0,36.0,21.0,24.0,29.0,39.0,76.0
en,9.0,6.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0
virtual,9.0,27.0,18.0,22.0,24.0,23.0,19.0,30.0,17.0,36.0
intersection,8.0,7.0,14.0,4.0,7.0,6.0,3.0,6.0,14.0,22.0
business,8.0,15.0,13.0,19.0,15.0,9.0,7.0,5.0,1.0,8.0
transmitter,8.0,7.0,6.0,7.0,4.0,5.0,3.0,5.0,2.0,4.0
neighbor,8.0,14.0,14.0,11.0,15.0,12.0,14.0,14.0,5.0,18.0
oblivious,8.0,10.0,9.0,1.0,1.0,3.0,7.0,2.0,8.0,14.0
detect,8.0,25.0,19.0,16.0,17.0,25.0,20.0,35.0,34.0,71.0
perturbation,8.0,4.0,5.0,4.0,5.0,2.0,5.0,3.0,,4.0
confidential,8.0,6.0,5.0,2.0,4.0,5.0,1.0,,,
structural,8.0,19.0,12.0,12.0,21.0,15.0,16.0,17.0,18.0,30.0
estimate,8.0,19.0,15.0,17.0,25.0,22.0,16.0,14.0,23.0,40.0
know,8.0,2.0,4.0,9.0,6.0,10.0,4.0,8.0,7.0,13.0
pour,8.0,10.0,4.0,4.0,4.0,6.0,,1.0,,3.0
element,8.0,6.0,14.0,15.0,14.0,12.0,13.0,10.0,14.0,24.0
expansion,8.0,9.0,12.0,16.0,15.0,7.0,6.0,6.0,6.0,14.0
multiplication,8.0,10.0,9.0,13.0,8.0,14.0,12.0,11.0,7.0,10.0
engineer,8.0,19.0,16.0,21.0,28.0,22.0,18.0,20.0,20.0,45.0
flash,8.0,3.0,4.0,12.0,4.0,3.0,3.0,5.0,1.0,3.0
coordination,8.0,12.0,22.0,15.0,11.0,13.0,13.0,14.0,6.0,18.0
pervasive,8.0,3.0,2.0,,1.0,3.0,5.0,2.0,,
accelerate,8.0,7.0,7.0,8.0,7.0,9.0,12.0,14.0,20.0,36.0
watermark,8.0,14.0,10.0,13.0,7.0,4.0,16.0,4.0,7.0,9.0
execution,8.0,10.0,15.0,10.0,5.0,5.0,7.0,11.0,8.0,27.0
nod,8.0,18.0,12.0,10.0,13.0,12.0,5.0,9.0,8.0,16.0
fingerprint,8.0,14.0,7.0,5.0,13.0,8.0,14.0,8.0,12.0,22.0
switch,8.0,13.0,17.0,10.0,21.0,21.0,19.0,9.0,15.0,28.0
safe,8.0,9.0,2.0,2.0,5.0,7.0,4.0,8.0,10.0,22.0
ternary,8.0,4.0,3.0,1.0,3.0,2.0,3.0,5.0,5.0,6.0
combination,8.0,44.0,6.0,3.0,18.0,8.0,10.0,7.0,8.0,15.0
classifier,8.0,15.0,13.0,18.0,13.0,20.0,16.0,20.0,19.0,38.0
device,8.0,23.0,19.0,17.0,19.0,17.0,35.0,21.0,23.0,49.0
connect,8.0,8.0,18.0,11.0,17.0,8.0,9.0,17.0,16.0,35.0
boundary,8.0,3.0,9.0,11.0,8.0,14.0,6.0,8.0,15.0,24.0
little,8.0,13.0,6.0,10.0,15.0,7.0,8.0,5.0,5.0,11.0
java,8.0,16.0,8.0,5.0,9.0,7.0,2.0,3.0,7.0,10.0
secret,8.0,20.0,16.0,8.0,5.0,16.0,11.0,7.0,4.0,8.0
advance,8.0,8.0,9.0,13.0,14.0,12.0,8.0,19.0,10.0,24.0
visualization,8.0,15.0,8.0,13.0,9.0,15.0,13.0,19.0,17.0,28.0
future,8.0,6.0,12.0,12.0,12.0,16.0,18.0,20.0,24.0,42.0
constant,8.0,13.0,14.0,14.0,16.0,8.0,11.0,10.0,11.0,15.0
emotion,8.0,2.0,2.0,3.0,7.0,3.0,7.0,11.0,15.0,48.0
consideration,8.0,4.0,3.0,1.0,3.0,1.0,3.0,,6.0,11.0
tolerant,8.0,10.0,4.0,7.0,6.0,4.0,6.0,2.0,2.0,8.0
fair,8.0,14.0,10.0,12.0,11.0,16.0,13.0,14.0,21.0,48.0
live,8.0,2.0,8.0,4.0,3.0,1.0,6.0,11.0,5.0,10.0
several,8.0,1.0,5.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0
overlap,8.0,9.0,4.0,3.0,3.0,10.0,9.0,17.0,6.0,11.0
interval,8.0,15.0,7.0,18.0,18.0,11.0,9.0,11.0,9.0,15.0
minimize,8.0,9.0,10.0,12.0,10.0,9.0,11.0,5.0,3.0,13.0
face,8.0,28.0,29.0,14.0,29.0,24.0,36.0,36.0,55.0,103.0
preserve,8.0,12.0,11.0,13.0,9.0,5.0,5.0,11.0,11.0,27.0
operation,8.0,6.0,8.0,20.0,20.0,16.0,15.0,13.0,13.0,21.0
regression,8.0,6.0,10.0,23.0,23.0,25.0,25.0,30.0,30.0,62.0
cascade,8.0,8.0,8.0,7.0,8.0,8.0,15.0,13.0,18.0,31.0
euclidean,8.0,9.0,4.0,8.0,9.0,4.0,2.0,3.0,2.0,3.0
distortion,8.0,10.0,5.0,7.0,5.0,5.0,6.0,4.0,5.0,10.0
relationship,8.0,10.0,7.0,13.0,12.0,11.0,11.0,11.0,9.0,22.0
encoder,8.0,8.0,6.0,9.0,2.0,2.0,3.0,8.0,6.0,10.0
indicator,8.0,7.0,6.0,8.0,8.0,11.0,5.0,8.0,7.0,10.0
symmetry,8.0,15.0,9.0,5.0,4.0,4.0,5.0,4.0,,3.0
independence,8.0,4.0,11.0,4.0,12.0,2.0,7.0,3.0,5.0,6.0
easy,8.0,5.0,7.0,9.0,4.0,10.0,5.0,2.0,9.0,12.0
generic,8.0,9.0,17.0,15.0,12.0,6.0,9.0,11.0,8.0,18.0
overlay,8.0,7.0,9.0,4.0,5.0,8.0,2.0,6.0,1.0,1.0
oracle,8.0,9.0,9.0,5.0,7.0,4.0,5.0,5.0,6.0,10.0
principal,8.0,9.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,10.0
rough,8.0,4.0,4.0,8.0,7.0,5.0,1.0,5.0,1.0,3.0
analog,8.0,4.0,9.0,13.0,7.0,4.0,7.0,5.0,4.0,8.0
dependency,8.0,7.0,12.0,11.0,11.0,10.0,12.0,21.0,17.0,35.0
answer,8.0,22.0,22.0,8.0,18.0,22.0,28.0,40.0,30.0,68.0
motion,8.0,12.0,5.0,11.0,16.0,20.0,23.0,37.0,48.0,88.0
preference,8.0,6.0,9.0,12.0,5.0,7.0,9.0,13.0,8.0,18.0
variation,8.0,3.0,9.0,9.0,6.0,10.0,15.0,13.0,11.0,19.0
transfer,8.0,17.0,10.0,16.0,24.0,36.0,50.0,33.0,54.0,130.0
manipulation,8.0,5.0,3.0,3.0,4.0,5.0,9.0,19.0,10.0,29.0
mesh,8.0,13.0,13.0,18.0,17.0,8.0,6.0,9.0,10.0,24.0
failure,8.0,11.0,12.0,8.0,15.0,16.0,11.0,6.0,10.0,20.0
discover,7.0,8.0,9.0,8.0,5.0,7.0,12.0,5.0,9.0,18.0
accurate,7.0,3.0,7.0,5.0,6.0,8.0,11.0,13.0,26.0,47.0
sufficient,7.0,2.0,5.0,8.0,8.0,5.0,3.0,9.0,2.0,4.0
sparsity,7.0,8.0,10.0,10.0,10.0,11.0,14.0,17.0,14.0,16.0
max,7.0,,2.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0
exploit,7.0,9.0,15.0,16.0,17.0,15.0,31.0,29.0,18.0,29.0
degrade,7.0,4.0,,4.0,3.0,3.0,2.0,2.0,1.0,3.0
schema,7.0,9.0,9.0,5.0,5.0,8.0,3.0,4.0,2.0,6.0
specify,7.0,3.0,2.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0
mutual,7.0,6.0,6.0,13.0,11.0,7.0,10.0,15.0,5.0,12.0
membrane,7.0,4.0,5.0,3.0,,2.0,,,,
presence,7.0,9.0,5.0,23.0,15.0,17.0,15.0,14.0,9.0,16.0
vehicle,7.0,8.0,11.0,11.0,12.0,18.0,29.0,35.0,45.0,98.0
mathematics,7.0,6.0,5.0,6.0,2.0,1.0,1.0,2.0,2.0,6.0
fusion,7.0,30.0,18.0,14.0,17.0,13.0,19.0,19.0,31.0,73.0
